Italian,English
e ,And
non ,not
che ,that
di ,Of
la ,there
il ,the
un ,a
a ,to
per ,for
è ,is
in ,in
una ,a
mi ,me
sono ,I am
ho ,I have
l' ,L'
si ,yes
ha ,has
ma ,but
lo ,the
cosa ,what
con ,with
no ,no
le ,the
ti ,you
se ,self
da ,from
i ,the
come ,how
io ,I
ci ,there
hai ,you have
questo ,this
bene ,well
qui ,here
sei ,six
del ,of the
tu ,you
solo ,alone
mio ,my
al ,to the
me ,myself
tutto ,everything
c' ,there
te ,you
era ,was
della ,from the
mia ,my
fatto ,done
fare ,Do
essere ,to be
so ,I know
quando ,when
sì ,Yup
ora ,Now
lei ,she
gli ,the
ne ,neither
oh ,Oh
questa ,this
detto ,said
ok ,ok
va ,it goes
perche ,because
quello ,that
mai ,never
alla ,at the
o ,or
anche ,also
stato ,state
abbiamo ,we have
tutti ,everyone
dei ,of the
grazie ,thank you
chi ,who
sta ,is
molto ,very
più ,more
voglio ,I want
perché ,because
tuo ,your
beh ,well
sia ,be
nel ,in the
lui ,he
allora ,At that time
posso ,I can
piu ,more
ehi ,hey
prima ,first
tua ,your
suo ,his
niente ,nothing
qualcosa ,something
sai ,you know
siamo ,we are
un' ,a
cosi ,as
davvero ,really
ancora ,still 
hanno ,they have
stai ,you are
fa ,does
sua ,her
così ,like this
casa ,home
uno ,one
dove ,where is it
su ,on
vero ,real 
vuoi ,do you want
noi ,we
due ,two
quindi ,so
dire ,to say
d' ,d '
delle ,of the
quella ,that
sempre ,always
altro ,other
sto ,this
andare ,to go
ad ,to
po ,bit
loro ,They
devo ,I must
quel ,that
forse ,maybe
li ,there
proprio ,own
certo ,Certain
tempo ,weather
nella ,in the
poi ,then
vi ,you
credo ,I believe
vita ,life
cose ,what's this
sul ,on
quanto ,how much
puoi ,can
fuori ,outside
anni ,years
cui ,which
andiamo ,let's go
dell' ,of
parte ,part
visto ,view
qualcuno ,someone
all' ,at
lavoro ,work
voi ,you
ciao ,hi
dio ,God
volta ,turn
dopo ,after
adesso ,now
stata ,was
uomo ,man
padre ,father
devi ,you have to
bisogno ,need
gia ,already
amico ,friend
ed ,and
posto ,place
nessuno ,nobody
via ,Street
cos' ,so
fai ,do
signore ,man
meglio ,better
cazzo ,fuck
dai ,come on
dal ,from the
vuole ,wants
sembra ,it seems
giorno ,day
ogni ,Everything is fine
modo ,way
senza ,without
vedere ,see
dobbiamo ,we have to
signor ,Mr
qualche ,some
dispiace ,sorry
penso ,I think
ecco ,there
parlare ,speak
tra ,between
mamma ,mom
già ,already
sarebbe ,would be
dalla ,from the
troppo ,too
fosse ,is
possiamo ,We can
ce ,there is
nuovo ,new
male ,bad
madre ,mother
avete ,you have
tanto ,much
favore ,favor
successo ,success
vai ,Go
sulla ,on the
giusto ,right
sa ,know
miei ,my
aspetta ,wait up
avere ,have
altra ,other
farlo ,to do it
alle ,to
facendo ,doing
abbia ,have
momento ,moment
ero ,was
aveva ,had
ragazzi ,guys
